year,trend
2021-2-23,85.86500626
2021-2-24,88.82104072
2021-2-25,92.12112784
2021-2-26,99.23817101
2021-2-27,102.789627
2021-2-28,106.0700096
2021-3-1,109.41607
2021-3-2,109.2018778
2021-3-3,111.3225204
2021-3-4,111.6269617
2021-3-5,109.838892
2021-3-6,111.3833457
2021-3-7,109.4016345
2021-3-8,107.9808469
2021-3-9,110.8655599
2021-3-10,110.8856539
2021-3-11,111.6511107
2021-3-12,110.1941482
2021-3-13,108.6679794
2021-3-14,110.5697088
2021-3-15,111.6374502
2021-3-16,111.7562421
2021-3-17,112.0506427
2021-3-18,112.7255968
2021-3-19,113.129375
2021-3-20,113.3783578
2021-3-21,113.3193242
2021-3-22,113.0157538
2021-3-23,112.7065098
2021-3-24,112.6096424
2021-3-25,112.3618926
2021-3-26,112.4127837
2021-3-27,112.5659509
2021-3-28,113.024397
2021-3-29,115.4616953
2021-3-30,114.6949777
2021-3-31,114.7617214
2021-4-1,114.9247219
2021-4-2,114.106887
2021-4-3,113.808057
2021-4-4,112.0708063
2021-4-5,110.2597168
2021-4-6,111.8628329
2021-4-7,109.5014639
2021-4-8,108.8785515
2021-4-9,110.48943
2021-4-10,110.7980454
2021-4-11,112.2194841
2021-4-12,111.4936279
2021-4-13,110.4617313
2021-4-14,112.4229153
2021-4-15,112.3635594
2021-4-16,111.1680261
2021-4-17,110.7109385
2021-4-18,110.4984946
2021-4-19,110.2515713
2021-4-20,109.964025
2021-4-21,109.7431083
2021-4-22,109.9746534
2021-4-23,110.2854307
2021-4-24,110.0732663
2021-4-25,110.1153239
2021-4-26,110.0708809
2021-4-27,110.1286025
2021-4-28,112.7228148
2021-4-29,112.3642632
2021-4-30,113.672543
2021-5-1,113.6120784
2021-5-2,112.3501607
2021-5-3,112.4603892
2021-5-4,111.6606408
2021-5-5,109.7317997
2021-5-6,111.3029741
2021-5-7,108.8711913
2021-5-8,108.7317425
2021-5-9,110.3423533
2021-5-10,110.2127796
2021-5-11,110.9073834
2021-5-12,110.6550818
2021-5-13,109.6013518
2021-5-14,110.9561013
2021-5-15,111.8117729
2021-5-16,111.5298387
2021-5-17,112.0736968
2021-5-18,112.7545575
2021-5-19,113.063279
2021-5-20,113.68483
2021-5-21,114.3686126
2021-5-22,114.5887358
2021-5-23,114.9606464
2021-5-24,115.2106576
2021-5-25,115.255509
2021-5-26,115.1954774
2021-5-27,114.7138877
2021-5-28,114.1986664
2021-5-29,116.8135603
2021-5-30,115.4923519
2021-5-31,116.7308332
2021-6-1,116.3686614
2021-6-2,114.8336382
2021-6-3,114.6048467
2021-6-4,114.1710164
2021-6-5,111.9028474
2021-6-6,113.8617624
2021-6-7,110.8319785
2021-6-8,110.3462182
2021-6-9,111.8129216
2021-6-10,111.1900405
2021-6-11,110.2011461
2021-6-12,109.6019448
2021-6-13,109.357787
2021-6-14,111.4859508
2021-6-15,113.0616825
2021-6-16,113.3716202
2021-6-17,114.7754892
2021-6-18,116.9624171
2021-6-19,117.5399917
2021-6-20,117.0676633
2021-6-21,116.588578
2021-6-22,115.3717643
2021-6-23,114.3469061
2021-6-24,113.5377622
2021-6-25,113.2429891
2021-6-26,112.4110374
2021-6-27,111.784365
2021-6-28,115.7417237
2021-6-29,114.0028903
2021-6-30,115.4323884
2021-7-1,116.1588111
2021-7-2,114.6582655
2021-7-3,114.4734431
2021-7-4,114.5827451
2021-7-5,111.0284367
2021-7-6,113.7004404
2021-7-7,111.6482185
2021-7-8,110.966168
2021-7-9,112.918694
2021-7-10,114.2675497
2021-7-11,115.8383688
2021-7-12,116.3693752
2021-7-13,116.7196826
2021-7-14,117.8897821
2021-7-15,117.989847
2021-7-16,117.0760086
2021-7-17,116.2234793
2021-7-18,115.1607068
2021-7-19,113.7838397
2021-7-20,112.7559373
2021-7-21,112.5922686
2021-7-22,112.0988389
2021-7-23,111.9857668
2021-7-24,111.8590764
2021-7-25,111.9248485
2021-7-26,112.4831571
2021-7-27,112.7490396
2021-7-28,113.2073798
2021-7-29,118.4033195
2021-7-30,116.1440089
2021-7-31,117.0006071
2021-8-1,116.8948829
2021-8-2,115.1215879
2021-8-3,114.8612259
2021-8-4,114.6967763
2021-8-5,110.3517535
2021-8-6,113.4540613
2021-8-7,111.2616777
2021-8-8,110.256461
2021-8-9,112.5240662
2021-8-10,112.8815984
2021-8-11,112.2870051
2021-8-12,111.2864838
2021-8-13,110.0372089
2021-8-14,111.0078978
2021-8-15,111.4289272
2021-8-16,110.0737799
2021-8-17,109.1456952
2021-8-18,108.9688243
2021-8-19,109.248041
2021-8-20,109.534524
2021-8-21,109.9285877
2021-8-22,110.7174695
2021-8-23,111.4382614
2021-8-24,111.9163803
2021-8-25,112.245055
2021-8-26,112.3133406
2021-8-27,112.0694462
2021-8-28,111.8582385
2021-8-29,115.4703641
2021-8-30,112.39638
2021-8-31,113.3825833
2021-9-1,113.5011248
2021-9-2,112.858518
2021-9-3,113.7026715
2021-9-4,114.586769
2021-9-5,111.5673565
2021-9-6,114.9758112
2021-9-7,112.474223
2021-9-8,111.7884609
2021-9-9,114.0782145
2021-9-10,112.8925648
2021-9-11,111.9682849
2021-9-12,110.4652836
2021-9-13,109.3925668
2021-9-14,110.3571149
2021-9-15,110.8915285
2021-9-16,109.4991321
2021-9-17,109.50884
2021-9-18,107.8648834
2021-9-19,107.4247803
2021-9-20,107.3621044
2021-9-21,107.4512901
2021-9-22,107.0799913
2021-9-23,106.6279637
2021-9-24,106.755458
2021-9-25,107.9284257
2021-9-26,108.4951252
2021-9-27,108.5966139
2021-9-28,113.0337682
2021-9-29,110.0089026
2021-9-30,111.8141504
2021-10-1,112.346052
2021-10-2,111.877107
2021-10-3,113.1263118
2021-10-4,114.2923773
2021-10-5,111.5259676
2021-10-6,115.8645554
2021-10-7,113.0088094
2021-10-8,112.2673538
2021-10-9,114.3937504
2021-10-10,111.4038003
2021-10-11,108.7008559
2021-10-12,105.8923689
2021-10-13,103.6221453
2021-10-14,103.3301412
2021-10-15,102.0367697
2021-10-16,99.09340753
2021-10-17,99.53325178
2021-10-18,99.88439195
2021-10-19,99.6243698
2021-10-20,99.13161805
2021-10-21,99.05009761
2021-10-22,98.74573447
2021-10-23,98.48100102
2021-10-24,98.12345818
2021-10-25,97.93473023
2021-10-26,97.96745266
2021-10-27,98.17835973
2021-10-28,98.31378138
2021-10-29,104.7600519
2021-10-30,102.2625561
2021-10-31,105.4130472
2021-11-1,106.7497904
2021-11-2,108.113341
2021-11-3,110.7886819
2021-11-4,113.3100242
2021-11-5,110.3885996
2021-11-6,115.3968317
2021-11-7,112.5398862
2021-11-8,112.3682745
2021-11-9,114.0718518
2021-11-10,112.675825
2021-11-11,111.4775916
2021-11-12,110.0707909
2021-11-13,109.364386
2021-11-14,110.8553012
2021-11-15,110.9521437
2021-11-16,109.5692026
2021-11-17,110.3115582
2021-11-18,111.5959682
2021-11-19,112.668695
2021-11-20,113.862691
2021-11-21,115.0897187
2021-11-22,117.171274
2021-11-23,118.5345608
2021-11-24,119.0336641
2021-11-25,118.7189801
2021-11-26,118.6744157
2021-11-27,118.7233043
2021-11-28,121.3506378
2021-11-29,114.4735624
2021-11-30,113.9109256
2021-12-1,112.7632757
2021-12-2,112.0583504
2021-12-3,111.8489784
2021-12-4,111.5390162
2021-12-5,108.5643996
2021-12-6,113.338025
2021-12-7,110.5578238
2021-12-8,110.3991149
2021-12-9,112.1605088
2021-12-10,113.122482
2021-12-11,113.7198905
2021-12-12,114.2915966
2021-12-13,116.5995074
2021-12-14,120.5259598
2021-12-15,122.7621616
2021-12-16,122.3999212
2021-12-17,121.9723743
2021-12-18,121.8469532
